"genus","species","newcarabids_author_carabids_source","newcarabids_comment_carabids_source","newcarabids_referencebodysize_carabids_source","newcarabids_referenceclassification_carabids_source","newcarabids_referencedistribution_carabids_source","newcarabids_referenceeyesize_carabids_source","newcarabids_referencehabitatpreference_carabids_source","newcarabids_referencehwd_carabids_source","newcarabids_referencetrophiclevel_carabids_source","newmartin2019_authority_martin2019_source","newtamburini_source.of.pest.trait.information_tamburini_source","newglobalants_contributor_globalants_source","newarthropodtraits_author_arthropodtraits_source","newcarabids_referencehibernation_carabids_source","newcarabids_referencehuntingabilities_carabids_source","newsesync_citation_sesync_source","newemerystickytrap_literature_emerysticky_source","newemerystickytrap_litforsize_emerysticky_source","newcarabids_referenceactivitytime_carabids_source","newcarabids_referencereproduction_carabids_source","newemerypitfalltrap_literature_emerypit_source"
"acropyga","exsanguis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Donoso David",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","aterrima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","obfuscata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","parvula",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mannerheim 1830",NA,NA,"Mannerheim 1831",NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","brunnipes","Sturm","Lindroth 1985/86: 87 Bauer 1974","Freude et al. 2006: 402","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 402","GAC Ed. 2009","Lindroth 1985/86: 387","Freude et al. 2006",NA,NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","dubius","Schilsky","Freude et al. 2006: 85 Bonavita et al. 2003: 394","Freude et al. 2006: 406","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Lindroth 1985/86: 390","Freude et al. 2006","Schilsky 1888",NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","elegans","Dejean","Lindroth 1985/86: 411 Freude et al. 2006: 427","Antoine 1959: 451","Löbl & Smetana 2003","Löbl & Smetana 2003","Antoine 1959: 451","GAC Ed. 2009","Jeannel 1942a: 717","Freude et al. 2006","Dejean 1829",NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","exiguus","Dejean","Lindroth 1985/86: 427 Freude et al. 2006: 455 adults hibernate under bark river banks marshy lake shores spring breeder","Lindroth1985/86: 390","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth1985/86","GAC Ed. 2009","Lindroth1985/86: 390","Freude et al. 2006",NA,NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","flavicollis","Sturm","Lindroth 1985/86: 252 Freude et al. 2006: 244 hygrophilous muddy soil eutrophic lakes spring breeder exhibiting brood care","Freude et al. 2006: 402","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Lindroth 1985/86: 386","Freude et al. 2006","Stephens 1828",NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","interstitialis","Reitter","Turin 2000: 333 Freude et al 2006.: 243 wet habitats lakes rivers wutrophic fens spring breeder","Freude et al. 2006: 401","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Jeannel 1942a: 715","Freude et al. 2006",NA,NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","luteatus","Duftschmid","Lindroth 1985/86: 119 Jeannel 1941: 312 Freude et al. 2006: 113","Antoine 1959: 452","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Antoine 1959: 452","Freude et al. 2006","Duftschmid 1812",NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","maculatus","Schaum","Lindroth 1985/86: 313 Jeannel 1942a: 920","Freude et al. 2006: 405","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Barndt et al. 1991: 249","Freude et al. 2006","Schaum 1860",NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","meridianus","Linn","Lindroth 1985/86: 153 Ortuno & Toribio 2005: 168 spring breeder","Freude et al. 2006: 402","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Lindroth 1985/86: 389","Freude et al. 2006","Linnaeus 1760",NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"acupalpus","parvulus","Sturm","Lindroth 1985/86: 389 Freude et al. 2006: 402","Freude et al. 2006: 405","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Turin 2000: 521","Freude et al. 2006: 405","Sturm 1825",NA,NA,NA,"Freude et al. 2006: 405","Freude et al. 2006: 405",NA,NA,NA,NA,NA,NA
"acyrthosiphon","pisum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris 1776","MacKay et al. 1993",NA,NA,NA,NA,"Not published",NA,NA,NA,NA,NA
"adalia","bipunctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linnaeus 1758",NA,NA,"Linneaus 1758",NA,NA,NA,"Serra2013","coccinellidae.cl",NA,NA,NA
"adalia","decempunctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linnaeus 1758",NA,NA,"Linneaus 1758",NA,NA,NA,NA,NA,NA,NA,NA
"adelomyrmex","laevigatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Donoso David",NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelomyrmex","sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baccaro Fabricio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","lineolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goeze 1778",NA,NA,"Goeze 1778",NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","quadripunctatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabricius 1794",NA,NA,"Fabricius 1794",NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","seticornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabricius 1775",NA,NA,"Fabricius 1775",NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","ticinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meyer-D¸r 1843",NA,NA,NA,NA,NA,NA,NA,NA
"aegomorphus","clavipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agapanthia","villosoviridescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","afrum","Duftschmid","Lindroth 1985/86: 440 Freude et al. 2006: 471 hibernate under bark spring breeder sun-exposed sandy ground","Freude et al. 2006: 279","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 279","GAC Ed. 2009","Turin 2000: 38","Lindroth 1985/86","Duftschmid 1812",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"agonum","dolens","C. R. Sahlberg","Lindroth 1985/86: 371","Freude et al. 2006: 273 Chatenet 2005: 421","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 273 Chatenet 2005: 421","GAC Ed. 2009","Lindroth 1945: 52","Freude et al. 2006: 273 Chatenet 2005: 421",NA,NA,NA,NA,"Lindroth 1945: 52",NA,NA,NA,NA,NA,NA,NA
"agonum","duftschmidi","J. Schmidt","Chatenet 2005: 203 Lindroth 1985/86: 88","Lindroth 1985/86: 288 Jeannel 1942a: 880","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86","GAC Ed. 2009","Barndt et al. 1991: 249 Lindroth 1985/86: 288","Lindroth 1985/86","Schmidt 1994",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"agonum","ericeti","Panzer","Lindroth 1985/86: 414 Freude et al. 2006: 476","Lindroth 1985/86: 284","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 284","GAC Ed. 2009","Lindroth 1985/86: 284","Lindroth 1985/86: 284",NA,NA,NA,NA,"Lindroth 1985/86: 284",NA,NA,NA,NA,NA,NA,NA
"agonum","fuliginosum","Panzer","Lindroth 1985/86: 384 Freude et al. 2006: 400","Turin 2000: 388","Löbl & Smetana 2003","Löbl & Smetana 2003","Turin 2000: 388","GAC Ed. 2009","Lindroth 1985/86: 292","Lindroth 1985/86: 292",NA,NA,NA,NA,"Lindroth 1985/86: 292",NA,NA,NA,NA,NA,NA,NA
"agonum","gracile","Sturm","Lindroth 1985/86: 311 Freude et al. 2006: 327 sandy soil calluna heaths eurytopic","Freude et al. 2006: 266","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 266","GAC Ed. 2009","Lindroth 1985/86: 292","Lindroth 1985/86: 292",NA,NA,NA,NA,"Lindroth 1985/86: 292",NA,NA,NA,NA,NA,NA,NA
"agonum","gracilipes","Duftschmid","Lindroth 1985/86: 307 Freude et al. 2006: 317","Lindroth 1985/86: 285","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 285","GAC Ed. 2009","Lindroth 1985/86: 285","Lindroth 1985/86: 285",NA,NA,NA,NA,"Lindroth 1985/86: 285",NA,NA,NA,NA,NA,NA,NA
"agonum","hypocrita","Apfelbeck","Jeannel & Racovitza 1929: 303 Freude et al. 2006: 116","Freude et al. 2006: 273","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 273","GAC Ed. 2009","Barndt et al. 1991: 249 Flügellänge unbekannt Freude et al. 2006: 273","Freude et al. 2006: 273",NA,NA,NA,NA,"Freude et al. 2006: 273",NA,NA,NA,NA,NA,NA,NA
"agonum","impressum","Panzer","Lindroth 1985/86: 57",NA,"Löbl & Smetana 2003","Löbl & Smetana 2003",NA,"GAC Ed. 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","longicorne","Chaudoir",NA,"Freude et al. 2006: 274","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 274",NA,"Freude et al. 2006: 274","Freude et al. 2006: 274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","lugens","Duftschmid",NA,"Jeannel 1942a: 879 Freude et al. 2006: 270","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1942a: 879 Freude et al. 2006: 270","GAC Ed. 2009","Lindroth 1985/86: 289","Lindroth 1985/86: 289","Duftschmid 1812",NA,NA,NA,"Lindroth 1985/86: 289",NA,NA,NA,NA,NA,NA,NA
"agonum","marginatum","Linn",NA,"Freude et al. 2006: 268","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 268","GAC Ed. 2009","Lindroth 1985/86: 283","Lindroth 1985/86: 283",NA,NA,NA,NA,"Lindroth 1985/86: 283",NA,NA,NA,NA,NA,NA,NA
"agonum","micans","Nicolai","Jeannel 1942a: 737","Freude et al. 2006: 267","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 267","GAC Ed. 2009","Lindroth 1985/86: 291","Lindroth 1985/86: 291","Nicolai 1822",NA,NA,NA,"Lindroth 1985/86: 291",NA,NA,NA,NA,NA,NA,NA
"agonum","monachum","Duftschmid","incertae sedis","Freude et al. 2006: 271","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 271","GAC Ed. 2009","Freude et al. 2006: 271","Freude et al. 2006: 271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","muelleri","Herbst",NA,"Jeannel 1942a: 879","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1942a: 879","GAC Ed. 2009","Lindroth 1985/86: 285","Lindroth 1985/86: 285","Herbst 1784",NA,NA,NA,"Lindroth 1985/86: 285",NA,NA,NA,NA,NA,NA,NA
"agonum","munsteri","Hell",NA,"Freude et al. 2006: 266","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 266","GAC Ed. 2009","Lindroth 1985/86: 294","Lindroth 1985/86: 294",NA,NA,NA,NA,"Lindroth 1985/86: 294",NA,NA,NA,NA,NA,NA,NA
"agonum","nigrum","Dejean","Freude et al. 2006: 249","Freude et al. 2006: 272","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 272","GAC Ed. 2009","Antoine 1957: 222","Freude et al. 2006: 272","Letzner 1851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","pelidnum","Herbst","Chatenet 2005: 406",NA,"Löbl & Smetana 2003","Löbl & Smetana 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","permoestum","Puel","Freude et al. 2006: 249","Freude et al. 2006: 278","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 278",NA,"Freude et al. 2006: 278","Lindroth 1985/86","Puel 1938",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"agonum","piceum","Linn","Chatenet 2005: 405 Freude et al. 2006: 248","Lindroth 1985/86: 291","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 291","GAC Ed. 2009","Lindroth 1985/86: 291","Lindroth 1985/86: 291",NA,NA,NA,NA,"Lindroth 1985/86: 291",NA,NA,NA,NA,NA,NA,NA
"agonum","scitulum","Dejean",NA,"Freude et al. 2006: 265","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 265","GAC Ed. 2009","Turin 2000: 392","Freude et al. 2006: 265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","sexpunctatum","Linn",NA,"Freude et al. 2006: 269","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 269","GAC Ed. 2009","Lindroth 1985/86: 283","Lindroth 1985/86: 283","Müller 1776",NA,NA,NA,"Lindroth 1985/86: 283","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"agonum","versutum","Sturm","Gridelli 1925: 131","Freude et al. 2006: 276","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 286","GAC Ed. 2009","Lindroth 1985/86: 286","Freude et al. 2006: 276",NA,NA,NA,NA,"Lindroth 1985/86: 286",NA,NA,NA,NA,NA,NA,NA
"agonum","viduum","Panzer",NA,"Freude et al. 2006: 276","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 276","GAC Ed. 2009","Lindroth 1945: 96","Lindroth 1985/86","Panzer 1796",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"agonum","viridicupreum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goeze 1777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hull 1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ski 1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","decora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cambridge 1871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","fuscipalpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Koch 1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cambridge 1871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","rurestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Koch 1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blackwall 1844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","simplicitarsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simon 1884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bilineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyllenhal 1810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bipustulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linnaeus 1761",NA,NA,"Linneaus 1761",NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","brevipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","curtula",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goeze 1777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyllenhal 1810",NA,NA,"Gyllenhal 1810",NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","lygaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kraatz 1862",NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","ruficornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","sparsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heer 1839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","tristis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1806",NA,NA,NA,NA,NA,NA,NA,NA
"allodynerus","rossii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepeletier 1841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alloxysta","victrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Westwood 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aloconota","gregaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erichson 1839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","accentuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latreille 1817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","aculeata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clerck 1757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","albofasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brullé 1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","cuneata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clerck 1757",NA,NA,"Clerck 1757",NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","fabrilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clerck 1757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","pulverulenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clerck 1757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","simoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorell 1872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","trabalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clerck 1757",NA,NA,"Clerck 1757",NA,NA,NA,NA,NA,NA,NA,NA
"alosterna","tabacicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bonelli 1810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aenea","DeGeer",NA,"Jeannel 1942a: 920","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1942a: 920","GAC Ed. 2009","Lindroth 1985/86: 313","Jeannel 1942a: 920","De Geer 1774",NA,NA,"De Geer 1774","Jeannel 1942a: 920",NA,NA,NA,NA,NA,NA,NA
"amara","anthobia","Villa & Villa","Jaeger 1983: 105","Freude et al. 2006: 315","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 315","GAC Ed. 2009","Lindroth 1985/86: 316","Freude et al. 2006: 315","Villa 1833",NA,NA,NA,"Freude et al. 2006: 315",NA,NA,NA,NA,NA,NA,NA
"amara","apricaria","Paykull","Scheibel 1935: 35","Lindroth 1985/86: 325","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 325","GAC Ed. 2009","Lindroth 1985/86: 325","Lindroth 1985/86: 325","Paykull 1790",NA,NA,NA,"Lindroth 1985/86: 325",NA,NA,NA,NA,NA,NA,NA
"amara","arenaria","Putzeys",NA,"Freude et al. 2006: 330","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 330",NA,"Freude et al. 2006: 330","Freude et al. 2006",NA,NA,NA,NA,"Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"amara","aulica","Panzer",NA,"Freude et al. 2006: 342","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 342","GAC Ed. 2009","Lindroth 1985/86: 328","Freude et al. 2006: 342","Panzer 1796",NA,NA,"Panzer 1797","Freude et al. 2006: 342",NA,NA,NA,NA,NA,NA,NA
"amara","bifrons","Gyllenhal",NA,"Jeannel 1942a: 931","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1942a: 931","GAC Ed. 2009","Lindroth 1985/86: 322","Freude et al. 2006","Gyllenhal 1810",NA,NA,"Gyllenhal 1810","Freude et al. 2006",NA,NA,NA,NA,NA,NA,NA
"amara","brunnea","Gyllenhal",NA,"Freude et al. 2006: 331","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 331","GAC Ed. 2009","Lindroth 1985/86: 324","Freude et al. 2006: 331",NA,NA,NA,NA,"Freude et al. 2006: 331",NA,NA,NA,NA,NA,NA,NA
"amara","chaudoiri","Schaum",NA,"Freude et al. 2006: 310","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 310",NA,"Freude et al. 2006: 310","Freude et al. 2006: 310",NA,NA,NA,NA,"Freude et al. 2006: 310",NA,NA,NA,NA,NA,NA,NA
"amara","communis","Panzer",NA,"Jeannel 1942a: 920","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1942a: 920","GAC Ed. 2009","Lindroth 1985/86: 310","Jeannel 1942a: 920","Panzer 1797",NA,NA,"Panzer 1797","Jeannel 1942a: 920",NA,NA,NA,NA,NA,NA,NA
"amara","concinna","C. Zimmermann","Tournier 1864: 266","Freude et al. 2006: 309","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 309","GAC Ed. 2009","Jeannel 1942a: 908","Freude et al. 2006: 309",NA,NA,NA,NA,"Freude et al. 2006: 309",NA,NA,NA,NA,NA,NA,NA
"amara","consularis","Duftschmid","Lindroth 1945: 52 Freude et al. 2006: 273 Chatenet 2005: 421 strictly riparian muddy lakes river banks spring breeder","Freude et al. 2006: 338","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 338","GAC Ed. 2009","Lindroth 1985/86: 328","Lindroth 1985/86: 328",NA,NA,NA,NA,"Lindroth 1985/86: 328",NA,NA,NA,NA,"Lindroth 1985/86: 328",NA,NA
"amara","convexior","Stephens",NA,"Freude et al. 2006: 326","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 326","GAC Ed. 2009","Lindroth 1985/86: 310","Freude et al. 2006: 326","Stephens 1828",NA,NA,NA,"Freude et al. 2006: 326",NA,NA,NA,NA,NA,"Lindroth 1986",NA
"amara","convexiuscula","Marsham",NA,"eannel 1942a: 947 Freude et al. 2006: 343","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 343","GAC Ed. 2009","Lindroth 1985/86: 329","Freude et al. 2006: 343",NA,NA,NA,NA,"Freude et al. 2006: 343",NA,NA,NA,NA,"Lindroth 1985/86: 329",NA,NA
