genus,species,invasive.to.political.region1_globalants_invasive,contributor_globalants_source,caste_globalants_other,whole.body.length..mm._globalants_body,colony.type_globalants_other,activity_globalants_other,diet_globalants_feeding,political.region1_globalants_invasive,continent_globalants_invasive
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
adelomyrmex,sp.,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
adelomyrmex,laevigatus,Native*,"Donoso, David",Worker,2.3,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,90,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,myops,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,cato,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,cato,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,4.65,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,5,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,altisquamis,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
apterostigma,sp.1,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
apterostigma,sp.2,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
apterostigma,sp.3,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
apterostigma,pilosum,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Fungivore (7),Not in paper,Not in paper
apterostigma,sp.01,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
azteca,sp.02,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,depilis,Native*,"Sanders, Nate",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
brachymyrmex,depilis,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
brachymyrmex,sp.1,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
brachymyrmex,sp.2,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
brachymyrmex,sp.3,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
brachymyrmex,sp.4,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
brachymyrmex,coactus,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.01,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.02,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.03,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.05,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.10,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.02,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp.05,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
brachymyrmex,sp. 07,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
camponotus,crozieri,Native*,"Gibb, Heloise",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,crozieri,Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._16_(rubiginosus_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._24_(claripes_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._4_(pellax_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._8_(discors_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._8_(discors_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._8_(discors_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,sp._9_(novaehollandiae_gp.),Native*,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,8,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,8,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,8,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,8,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,8,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,8,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,havilandi,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,havilandi,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,havilandi,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,havilandi,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,havilandi,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,havilandi,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,irredux,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,irredux,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,irredux,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,irredux,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,irredux,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,irredux,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un10,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un10,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un10,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un10,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un10,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,un10,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,18,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,19,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,39,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,78,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,89,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,114,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,127,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,133,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,142,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,143,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,182,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,208,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,214,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,220,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,25,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,31,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,51,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,66,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,78,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,gigas,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,gasseri,Unknown,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,gasseri,Unknown,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,16.83,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,13.81,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,15.71,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,12.7,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,13.49,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,16.83,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,15.4,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,14.13,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,13.65,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,13.17,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,12.38,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,12.22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,15.08,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,11.27,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,12.38,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,13.49,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,14.6,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,14.29,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,12.06,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,15.71,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,11.9,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,herculeanus,Unknown,"Gibb, Heloise",Worker,12.22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,amperei,Native*,"Gibb, Heloise; Grossman, Blair",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,amperei,Native*,"Gibb, Heloise; Grossman, Blair",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,amperei,Native*,"Gibb, Heloise; Grossman, Blair",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,amperei,Native*,"Gibb, Heloise; Grossman, Blair",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,amperei,Native*,"Gibb, Heloise; Grossman, Blair",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
camponotus,amperei,Native*,"Gibb, Heloise; Grossman, Blair",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
