presence_emerysticky_other,subclase_emerysticky_other,order_emerysticky_other,superfamily_emerysticky_other,family_emerysticky_other,subfamily_emerysticky_other,tribe_emerysticky_other,genus,species,number_emerysticky_other,location_emerysticky_other,dietbreadth_emerysticky_feeding,trophiclevel_emerysticky_feeding,functionalgroup_emerysticky_other,habitat_emerysticky_habitat,diet_emerysticky_feeding,moreinfo_emerysticky_other,nat_inv_un_emerysticky_invasive,countryconfirmed_emerysticky_invasive,literature_emerysticky_source,size_mm.min._emerysticky_body,size_mm.largestifrange._emerysticky_body,onesize_mm_emerysticky_body,litforsize_emerysticky_source
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"E2,F4",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,C3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,B3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,I2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,M1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,B3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,M3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,I1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,3,"E3,H4,I2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"G3,H2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"B3,C4",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"C2,C3",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"B1,C2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,I4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,B2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,G2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"F4,L4",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,B4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,B1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"K1,K3",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"B3,M4",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,M2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,H3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,E2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,C2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"C2,L4",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,F2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"J3,M2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,M1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,C2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,C2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"B3,L3",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,E2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"C4,F2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,A3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"B2,C2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,H4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,2,"B1,I1",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,A4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,D2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,L1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,K3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,J2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,D1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,C3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,J1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,I2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,J2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,E1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,H3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,F2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,L2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,F3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,J2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,B2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,3,"C1,I2,H3",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,D2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,L2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,I2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,F2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,I3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,H4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,B4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,F4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,K3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,H4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,2,"C3,D4",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,B2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,2,"B2,C2",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,B2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,I1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,I2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,3,"E1,E4,H3",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,J3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,B2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,C4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,J3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,I4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,K3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,H2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,C2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,E4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,E3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,E4,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,C1,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,J3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,"D3,I3",Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,L3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,C2,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
had,NA,Neuroptera,NA,Chrysopidae,,,chrysoperla,,1,B3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,DeArmas2020,12,20,16,
