"","carabidid_carabids_other","subfamily_carabids_other","tribe_carabids_other","subtribe_carabids_other","genus","subgenus_carabids_other","species","author_carabids_source","yearofdesc_carabids_other","region_carabids_other","range_carabids_other","countries_carabids_other","hindwingdevelopment_carabids_other","maxsize_carabids_body","minsize_carabids_body","eyesize_carabids_other","trophiclevel_carabids_feeding","visualhunter_carabids_feeding","snailhunter_carabids_feeding","collembolehunter_carabids_feeding","isopodhunter_carabids_feeding","habitatpreference_carabids_habitat","hibernation_carabids_other","activitystart_carabids_other","activityend_carabids_other","reprospring_carabids_other","reprosummer_carabids_other","reproautumn_carabids_other","reprowinter_carabids_other","comment_carabids_source","isactive_carabids_other","distributionarea_carabids_other","distributioncenterlatitude_carabids_other","distributioncenterlongitude_carabids_other","referenceid_carabids_other","carabididref_carabids_other","referenceclassification_carabids_source","referencedistribution_carabids_source","referencebodysize_carabids_source","referencehwd_carabids_source","referenceeyesize_carabids_source","referencetrophiclevel_carabids_source","referencehuntingabilities_carabids_source","referencehabitatpreference_carabids_source","referencehibernation_carabids_source","referenceactivitytime_carabids_source","referencereproduction_carabids_source","x"
"11",102,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","maculatus","Schaum",1860,"Central Europe","widespread","AB,AL,AR,AU,BH,BU,CR,CZ,FR,GE,GG,GR,HU,IT,MA,MC,MD,PL,PT,SK,SL,SP,ST,SZ,TR,UK,YU,AG,CI,LB,MO,TU,AF,CY,IN,IS,JO,KZ,SY,TM,TR,UZ","winged",4,3,"25 - 50 %","Omnivore","","","","","1,3,4,9","Imago","","","","","",NA,"Lindroth (1985/86): 313, Jeannel (1942a): 920",1,350,51,9,102,102,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 405","Barndt et al. (1991): 249","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"12",104,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","meridianus","Linn",1761,"Central Europe","widespread","AB,AL,AN,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IT,LA,LT,LU,MC,NL,NR,NT,PL,PT,RO,SK,SL,SP,ST,SV,SZ,TR,UK,YU,ES,IN,KZ,TR,WS","winged",4,3,"25 - 50 %","Omnivore","","","","","1,3,8,9","Imago","","","","","",NA,"Lindroth (1985/86): 153, Ortuno & Toribio (2005): 168, spring breeder",1,350,51,9,104,104,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 402","Lindroth (1985/86): 389","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"13",109,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","parvulus","Sturm",1825,"Central Europe","widespread","AB,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IR,IT,LA,LT,LU,MC,MD,NL,NR,NT,PL,PT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,AF,ES,IN,KI,KZ,TD,TM,TR,ZU,WS","winged",4,3,"25 - 50 %","Omnivore","","","","","1,3,4,5,9","Imago","","","","","",NA,"Lindroth (1985/86): 389, Freude et al. (2006): 402",1,350,51,9,109,109,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 405","Turin (2000): 521","Freude et al. (2006)","Freude et al. (2006): 405","Freude et al. (2006): 405","GAC, Ed. (2009)","Freude et al. (2006): 405","","",NA
"14",155,"Harpalinae","Platynini","","agonum","Agonum","afrum","Duftschmid",1812,"Central Europe","widespread","AU,BE,BH,BU,CR,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IR,IT,LA,LT,LU,MC,MD,PL,RO,SK,SL,SP,SV,SZ,UK,YU","dimorphic",9,7,"25 - 50 %","Predator","","","","","1,3,4,5,9","Imago","","","","","",NA,"Lindroth (1985/86): 440, Freude et al. (2006): 471, hibernate under bark, spring breeder, sun-exposed sandy ground",1,350,51,9,155,155,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 279","Turin (2000): 38","Freude et al. (2006): 279","Lindroth (1985/86)","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"15",182,"Harpalinae","Platynini","","agonum","Agonum","dolens","C. R. Sahlberg",1827,"Central Europe","widespread","AU,BE,CT,CZ,DE,EN,FI,GE,IT,LA,LT,MD,NL,NR,NT,PL,SK,ST,SV,ES,FE,JA,KZ,NC,WS","winged",8,6,"25 - 50 %","Predator","","","","","3,4,5","Imago","","","checked","","",NA,"Lindroth (1985/86): 371",1,350,51,9,182,182,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 273, Chatenet (2005): 421","Lindroth (1945): 52","Freude et al. (2006): 273, Chatenet (2005): 421","Freude et al. (2006): 273, Chatenet (2005): 421","","GAC, Ed. (2009)","Lindroth (1945): 52","","",NA
"16",185,"Harpalinae","Platynini","","agonum","Agonum","duftschmidi","J. Schmidt",1812,"Central Europe","widespread","AB,AU,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GE,GG,GR,HU,IR,IT,LA,LT,MD,NL,PL,PT,RO,SK,SP,ST,SV,SZ,UK,YU,MO,TU,IN,KZ,TD,TR,WS","dimorphic",9,7,"25 - 50 %","Predator","","","","","4,5","Imago","","","","","",NA,"Chatenet (2005): 203, Lindroth (1985/86): 88",1,350,51,9,185,185,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 288, Jeannel (1942a): 880","Barndt et al. (1991): 249, Lindroth (1985/86): 288","Lindroth (1985/86)","Lindroth (1985/86)","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"17",186,"Harpalinae","Platynini","","agonum","Agonum","ericeti","Panzer",1809,"Central Europe","widespread","AU,BE,CT,CZ,DE,EN,FI,FR,GB,GE,IT,LA,LT,MD,NL,NR,NT,PL,SK,ST,SV,SZ,WS","shortwinged",8,6,"25 - 50 %","Predator","","","","","4","Imago","","","checked","","",NA,"Lindroth (1985/86): 414, Freude et al. (2006): 476",1,350,51,9,186,186,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 284","Lindroth (1985/86): 284","Lindroth (1985/86): 284","Lindroth (1985/86): 284","","GAC, Ed. (2009)","Lindroth (1985/86): 284","","",NA
"18",191,"Harpalinae","Platynini","","agonum","Europhilus","fuliginosum","Panzer",1809,"Central Europe","widespread","AU,BE,BH,BU,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LS,LT,MD,NL,NR,NT,PL,SK,SL,SP,ST,SV,SZ,ES,FE,KZ,WS","dimorphic",7,5,"25 - 50 %","Predator","","","","","1,3,4,5","Imago","","","checked","","",NA,"Lindroth (1985/86): 384, Freude et al. (2006): 400",1,350,51,9,191,191,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Turin (2000): 388","Lindroth (1985/86): 292","Turin (2000): 388","Lindroth (1985/86): 292","","GAC, Ed. (2009)","Lindroth (1985/86): 292","","",NA
"19",194,"Harpalinae","Platynini","","agonum","Europhilus","gracile","Sturm",1824,"Central Europe","widespread","AU,BE,BU,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,MD,NL,NR,NT,PL,SK,SL,SP,ST,SV,SZ,UK,AG,ES,FE,JA,TR,WS","winged",7,5,"","","","","","","1,3,4,5","Imago","","","checked","","",NA,"Lindroth (1985/86): 311, Freude et al. (2006): 327, sandy soil, calluna heaths, eurytopic",1,350,51,9,194,194,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 266","Lindroth (1985/86): 292","Freude et al. (2006): 266","Lindroth (1985/86): 292","","GAC, Ed. (2009)","Lindroth (1985/86): 292","","",NA
"20",195,"Harpalinae","Platynini","","agonum","Platynomicrus","gracilipes","Duftschmid",1812,"Central Europe","widespread","AU,BE,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,MD,NL,NR,NT,PL,SK,SL,ST,SV,UK,ES,FE,KI,KZ,NC,WS","winged",9,6,"25 - 50 %","Predator","","","","","1,3,9","Imago","","","","","",NA,"Lindroth (1985/86): 307, Freude et al. (2006): 317",1,350,51,9,195,195,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 285","Lindroth (1985/86): 285","Lindroth (1985/86): 285","Lindroth (1985/86): 285","","GAC, Ed. (2009)","Lindroth (1985/86): 285","","",NA
"21",202,"Harpalinae","Platynini","","agonum","Agonum","hypocrita","Apfelbeck",1904,"Central Europe","widespread","AB,AU,BH,BU,CR,CT,CZ,DE,FI,FR,GE,GR,HU,IT,MA,MD,PL,SK,SL,SP,SV,UK,YU,TR","winged",9,7,"25 - 50 %","Predator","","","","","4,5","Imago","","","","","",NA,"Jeannel & Racovitza (1929): 303, Freude et al. (2006): 116",1,350,51,9,202,202,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 273","Barndt et al. (1991): 249 (Flügellänge unbekannt), Freude et al. (2006): 273","Freude et al. (2006): 273","Freude et al. (2006): 273","","GAC, Ed. (2009)","Freude et al. (2006): 273","","",NA
"22",203,"Harpalinae","Platynini","","agonum","Agonum","impressum","Panzer",1796,"Central Europe","","AU,CT,EN,FR,GE,HU,IT,LA,LT,NL,NT,PL,SK,SL,ST,SZ,UK,ES,FE,KZ,WS,YUN","winged",10,8,"","","","","","","3,4,5","","","","","","",NA,"Lindroth (1985/86): 57",1,350,51,9,203,203,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","GAC, Ed. (2009)","","","",NA
"23",220,"Harpalinae","Platynini","","agonum","Agonum","longicorne","Chaudoir",1846,"Central Europe","widespread","AB,AL,AU,BH,BU,CR,FR,GE,GR,HU,IT,LA,MD,RO,SK,ST,UK,YU,TR","winged",8,6,"25 - 50 %","Predator","","","","","","","","","","","",NA,"",1,350,51,9,220,220,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 274","Freude et al. (2006): 274","Freude et al. (2006): 274","Freude et al. (2006): 274","","","","","",NA
"24",221,"Harpalinae","Platynini","","agonum","Agonum","lugens","Duftschmid",1812,"Central Europe","widespread","AB,AU,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GE,GG,GR,HU,IR,IT,LA,LT,MD,NL,PL,PT,RO,SK,SP,ST,SV,SZ,UK,YU,MO,TU,IN,KZ,TD,TR,WS","winged",10,7,"25 - 50 %","Predator","","","","","1,4,5","Imago","","","checked","","",NA,"",1,350,51,9,221,221,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Jeannel (1942a): 879, Freude et al. (2006): 270","Lindroth (1985/86): 289","Jeannel (1942a): 879, Freude et al. (2006): 270","Lindroth (1985/86): 289","","GAC, Ed. (2009)","Lindroth (1985/86): 289","","",NA
"25",223,"Harpalinae","Platynini","","agonum","Agonum","marginatum","Linn",1758,"Central Europe","widespread","AU,AZ,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IR,IT,LA,LT,MD,NL,NR,NT,PL,PT,SK,SL,SP,ST,SV,SZ,YU,CI,MO,MR,TR","winged",10,8,"25 - 50 %","Predator","","","","","1,3,4","Imago","","","","","",NA,"",1,350,51,9,223,223,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 268","Lindroth (1985/86): 283","Freude et al. (2006): 268","Lindroth (1985/86): 283","","GAC, Ed. (2009)","Lindroth (1985/86): 283","","",NA
"26",226,"Harpalinae","Platynini","","agonum","Europhilus","micans","Nicolai",1822,"Central Europe","widespread","AU,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IR,IT,LA,LS,LT,MD,NL,NR,NT,PL,SK,ST,SV,SZ,UK,YU,ES,KZ,WS","winged",7,5,"25 - 50 %","Predator","","","","","3,4,5","Imago","","","checked","","",NA,"Jeannel (1942a): 737",1,350,51,9,226,226,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 267","Lindroth (1985/86): 291","Freude et al. (2006): 267","Lindroth (1985/86): 291","","GAC, Ed. (2009)","Lindroth (1985/86): 291","","",NA
"27",228,"Harpalinae","Platynini","","agonum","Agonum","monachum","Duftschmid",1812,"Central Europe","widespread","AU,BH,BU,CR,CT,CZ,FR,GE,GR,HU,IT,MD,NT,PL,SK,SP,ST,SZ,UK,KZ,TR,WS","winged",8,7,"25 - 50 %","Predator","","","","","0,1,3,4","","","","","","",NA,"incertae sedis",1,350,51,9,228,228,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 271","Freude et al. (2006): 271","Freude et al. (2006): 271","Freude et al. (2006): 271","","GAC, Ed. (2009)","","","",NA
"28",230,"Harpalinae","Platynini","","agonum","Agonum","muelleri","Herbst",1784,"Central Europe","widespread","AL,AU,AZ,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LS,LT,MA,MD,NL,NR,NT,PL,PT,SK,SL,SP,ST,SV,SZ,UK,YU,TR,WS","winged",9,6,"25 - 50 %","Predator","","","","","1,2,3,4,5,6,8,9","Imago","","","checked","","",NA,"",1,350,51,9,230,230,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Jeannel (1942a): 879","Lindroth (1985/86): 285","Jeannel (1942a): 879","Lindroth (1985/86): 285","","GAC, Ed. (2009)","Lindroth (1985/86): 285","","",NA
"29",231,"Harpalinae","Platynini","","agonum","Europhilus","munsteri","Hell",1935,"Central Europe","widespread","BE,DE,EN,FI,GE,NL,NR,NT,SV,ES","winged",6,5,"25 - 50 %","Predator","","","","","4","Imago","","","","","",NA,"",1,350,51,9,231,231,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 266","Lindroth (1985/86): 294","Freude et al. (2006): 266","Lindroth (1985/86): 294","","GAC, Ed. (2009)","Lindroth (1985/86): 294","","",NA
"30",234,"Harpalinae","Platynini","","agonum","Agonum","nigrum","Dejean",1828,"Central Europe","widespread","AU,CR,FR,GB,GE,GR,HU,IR,IT,NL,PT,SP,ST,SZ,UK,MO,KZ,TM,TR","winged",8,6,"25 - 50 %","Predator","","","","","4,5","","","","","","",NA,"Freude et al. (2006): 249",1,350,51,9,234,234,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 272","Antoine (1957): 222","Freude et al. (2006): 272","Freude et al. (2006): 272","","GAC, Ed. (2009)","","","",NA
"31",238,"Harpalinae","Platynini","","agonum","","pelidnum","Herbst",1784,"Central Europe","","GE","winged",7,5,"","","","","","","","","","","","","",NA,"Chatenet (2005): 406",1,350,51,9,238,238,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","","","","","","",NA
"32",239,"Harpalinae","Platynini","","agonum","Agonum","permoestum","Puel",1938,"Central Europe","widespread","AL,BH,BU,CR,FR,GE,GR,HU,IT,PT,RO,SK,SP","winged",9,7,"25 - 50 %","Predator","","","","","","Imago","","","","","",NA,"Freude et al. (2006): 249",1,350,51,9,239,239,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 278","Freude et al. (2006): 278","Freude et al. (2006): 278","Lindroth (1985/86)","","","Lindroth (1985/86)","","",NA
"33",241,"Harpalinae","Platynini","","agonum","Europhilus","piceum","Linn",1758,"Central Europe","widespread","AU,BE,BH,BU,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,MD,NL,NR,NT,PL,SK,SL,ST,SV,SZ,UK,ES,FE,JA,WS","winged",7,5,"25 - 50 %","Predator","","","","","3,4","Imago","","","checked","","",NA,"Chatenet (2005): 405, Freude et al. (2006): 248",1,350,51,9,241,241,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 291","Lindroth (1985/86): 291","Lindroth (1985/86): 291","Lindroth (1985/86): 291","","GAC, Ed. (2009)","Lindroth (1985/86): 291","","",NA
"34",253,"Harpalinae","Platynini","","agonum","Europhilus","scitulum","Dejean",1828,"Central Europe","widespread","BE,CT,EN,FR,GB,GE,HU,IR,IT,LA,NL,RO,SZ","winged",7,5,"25 - 50 %","Predator","","","","","1,3,4,5","","","","","","",NA,"",1,350,51,9,253,253,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 265","Turin (2000): 392","Freude et al. (2006): 265","Freude et al. (2006): 265","","GAC, Ed. (2009)","","","",NA
"35",256,"Harpalinae","Platynini","","agonum","Agonum","sexpunctatum","Linn",1758,"Central Europe","widespread","AU,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IT,LA,LS,LT,MA,MD,NL,NR,NT,PL,PT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,ES,FE,KZ,TR,WS","winged",9,6,"25 - 50 %","Predator","checked","","checked","","2,3,4,6,8,9","Imago","","","","","",NA,"",1,350,51,9,256,256,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 269","Lindroth (1985/86): 283","Freude et al. (2006): 269","Lindroth (1985/86): 283","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86): 283","","",NA
"36",275,"Harpalinae","Platynini","","agonum","Agonum","versutum","Sturm",1824,"Central Europe","widespread","AU,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,MD,NL,NR,NT,PL,SK,SL,ST,SV,SZ,UK","winged",8,6,"25 - 50 %","Predator","","","","","3,4,5","Imago","","","","","",NA,"Gridelli (1925): 131",1,350,51,9,275,275,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 276","Lindroth (1985/86): 286","Lindroth (1985/86): 286","Freude et al. (2006): 276","","GAC, Ed. (2009)","Lindroth (1985/86): 286","","",NA
"37",276,"Harpalinae","Platynini","","agonum","Agonum","viduum","Panzer",1796,"Central Europe","widespread","AU,BE,BH,BU,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,HU,IC,IR,IT,LA,LS,LT,MD,NL,NR,NT,PL,PT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,ES,KZ,WS","winged",9,7,"25 - 50 %","Predator","","","","","1,3,4,5","Imago","","","checked","","",NA,"",1,350,51,9,276,276,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 276","Lindroth (1945): 96","Freude et al. (2006): 276","Lindroth (1985/86)","","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"38",302,"Harpalinae","Zabrini","Amarina","amara","Amara","aenea","DeGeer",1774,"Central Europe","widespread","AB,AL,AN,AR,AU,AZi,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IR,IT,KZ,LA,LT,LU,MA,MC,MD,NL,NR,NT,PL,PT,RO,SK,SL,SP,ST,SV,SZ,TR,UK,YU,AG,CI,EG,LB,MO,MR,TU,AF,CY,ES,HP,IN,IQ,IS,JO,KA,KI,KZ,LE,MG,NP,PA,SY,TD,TM,TR,UP,UZ,WS,XIN","winged",8,6,"10 - 25 %","Herbivore","","","","","1,6,7,8,9","Imago","","","","","",NA,"",1,350,51,9,302,302,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Jeannel (1942a): 920","Lindroth (1985/86): 313","Jeannel (1942a): 920","Jeannel (1942a): 920","","GAC, Ed. (2009)","Jeannel (1942a): 920","","",NA
