"genus","species","newsesync_country_sesync_invasive","newsesync_invasive_sesync_invasive","newtamburini_invasive.status_tamburini_invasive","newtamburini_study.area_tamburini_invasive","newglobalants_continent_globalants_invasive","newglobalants_invasive.to.political.region1_globalants_invasive","newglobalants_political.region1_globalants_invasive","newemerystickytrap_countryconfirmed_emerysticky_invasive","newemerystickytrap_nat_inv_un_emerysticky_invasive"
"agonum","viduum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viridicupreum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","decora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","fuscipalpa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","rurestris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","simplicitarsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bilineata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bipustulata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","brevipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","curtula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","lygaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","ruficornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","sparsa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","tristis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"allodynerus","rossii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alloxysta","victrix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aloconota","gregaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","accentuata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","aculeata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","albofasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","cuneata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","fabrilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","pulverulenta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","simoni",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","trabalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alosterna","tabacicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aenea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","anthobia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","apricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","arenaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aulica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","bifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","brunnea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","chaudoiri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","communis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","concinna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","consularis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","convexior",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","convexiuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","cursitans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","curta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","equestris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","erratica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","eurynota",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","famelica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","familiaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fulva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fulvipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fusca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","gebleri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","infima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","ingenua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","kulti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","littorea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","lucida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","lunicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","majuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","messae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","montivaga",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","municipalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","nigricornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","plebeja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","praetermissa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","proxima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","pulpani",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","quenseli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","sabulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","schimperi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","similata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","spreta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","strandi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","strenua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","tibialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amblystomus","niger",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","analis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","bifoveolata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","decipiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","forcipata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","nigrofusca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anaesthetis","testacea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anaglyptus","mysticus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anastrangalia","reyi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anastrangalia","sanguinolenta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchomenus","cyaneus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchomenus","dorsalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","antilope",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","claripennis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","gazella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","nigricornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","oviventris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","parietinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","parietum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","trifasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","binotatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","nemorivagus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","poeciloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","signatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","90",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","altisquamis",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","armstrongi",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","cato",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","diegensis",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","myops",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","paripungens",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","rectangularis",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"anochetus","risii",NA,NA,NA,NA,"Asia","Native*","China",NA,NA
"anoplodera","sexguttata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","complanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","insecatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","inustus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","rugosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","sculpturatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","tetracarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthobium","atrocephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthobium","unicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthonomus","rectirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthonomus","rubi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"antistea","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphididae","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","",NA,NA,NA,NA,NA,NA,NA,NA,"Parasitoid"
"aphidius","avenae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","ervi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","rhopalosiphi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","uzbekistanicus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidoidea","","switzerland","native",NA,NA,NA,NA,NA,NA,NA
"aphidoletes","aphidimyza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphis","craccivora","serbia","native","Native","Europe",NA,NA,NA,NA,NA
"aphis","glycines","united states","invasive","Exotic","North America",NA,NA,NA,NA,NA
"aphodius","contaminatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","corvinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","distinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","erraticus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","fimetarius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","granarius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","haemorrhoidalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","prodromus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","sphacelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphodius","tasmaniae","australia","native",NA,NA,NA,NA,NA,NA,NA
"apostenus","fuscus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"apterostigma","pilosum",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"apterostigma","sp.01",NA,NA,NA,NA,"South America","Native*","Brazil",NA,NA
"apterostigma","sp.1",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"apterostigma","sp.2",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"apterostigma","sp.3",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"araeoncus","humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneae","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneae","sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneus","diadematus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneus","marmoreus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneus","quadratus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneus","sturmi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneus","triguttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araniella","alpica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araniella","cucurbitina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"araniella","opisthographa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"arctosa","leopardus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"arctosa","perita",NA,NA,NA,NA,NA,NA,NA,NA,NA
"argenna","subnigra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"arhopalus","rusticus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"arhopalus","tristis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aromia","moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphes","suspensus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","austriacum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","caraboides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","curtum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","flavipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","pallipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","stierlini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asemum","striatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asemum","tenuicorne",NA,NA,NA,NA,NA,NA,NA,NA,NA
"asthenargus","paganus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","aegra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","aeneipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","amplicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","atramentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","britanniae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","cauta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","celata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","crassicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","elongatula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","graminicola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","harwoodi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","inquinula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","laticollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","liliputana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","longicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","macrocera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","malleus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","nigra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","oblita",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","orbata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","pittionii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","putrida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","ravilla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","triangulum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aulonia","albimana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"auplopus","carbonarius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"azteca","sp.02",NA,NA,NA,NA,"South America","Native*","Brazil",NA,NA
"bactrocera","oleae","spain","native","Native","Europe",NA,NA,NA,NA,NA
"badister","bullatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","collaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","dilatatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","dorsiger",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","lacertosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","meridionalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","peltatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","sodalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","unipustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"baryphyma","pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"baryphyma","trifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bathyphantes","approximatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bathyphantes","gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bathyphantes","parvulus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bathyphantes","similis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","aeneum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","argenteolum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","articulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ascendens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","aspericolle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","assimile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","atrocaeruleum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","biguttatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","bipunctatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","bodenheimeri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","bruxellense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","complanatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","conforme",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","decoratum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","decorum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","deletum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","dentellum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","doderoi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","doris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","elongatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ephippium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","eques",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","fasciolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","femoratum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","foraminosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","fulvipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","fumigatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","geniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","gilvipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","glaciale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","guttula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","humerale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","illigeri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","incognitum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","inoptatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","inustum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","iricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lampros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lapponicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","laticolle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","latinum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","litorale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","longipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lunatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lunulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","mannerheimii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","maritimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","milleri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","millerianum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","minimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","modestum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","monticola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","neresheimeri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","nigricorne",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","normannum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","obliquum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","obtusum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","octomaculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","pallidipenne",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","prasinum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","properans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","pseudascendens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","punctulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","pygmaeum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","quadrimaculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","quadripustulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ruficolle",NA,NA,NA,NA,NA,NA,NA,NA,NA
