"genus","species","newcarabids_trophiclevel_carabids_feeding","newmartin2019_agricultural_specialist_martin2019_feeding","newmartin2019_diet_breadth_martin2019_feeding","newmartin2019_diet_life_history_martin2019_feeding","newmartin2019_functional_group_martin2019_feeding","newsesync_finalfeeding_sesync_feeding","newsesync_trophic.level_sesync_feeding","newtamburini_host.plants.of.economic.concern_tamburini_feeding","newglobalants_diet_globalants_feeding","newarthropodtraits_feeding_guild_arthropodtraits_feeding","newarthropodtraits_feeding_guild_short_arthropodtraits_feeding","newarthropodtraits_feeding_mode_arthropodtraits_feeding","newemerystickytrap_diet_emerysticky_feeding","newemerystickytrap_dietbreadth_emerysticky_feeding","newemerystickytrap_trophiclevel_emerysticky_feeding","newarthropodtraits_feeding_specialization_arthropodtraits_feeding","newarthropodtraits_feeding_tissue_arthropodtraits_feeding","newcarabids_collembolehunter_carabids_feeding","newcarabids_visualhunter_carabids_feeding","newarthropodtraits_feeding_plant_part_arthropodtraits_feeding","newarthropodtraits_endophagous_lifestyle_arthropodtraits_feeding","newcarabids_isopodhunter_carabids_feeding","newcarabids_snailhunter_carabids_feeding","newemerypitfalltrap_dietbreadth_emerypit_feeding","newemerypitfalltrap_feedingtype_emerypit_feeding","newemerypitfalltrap_trophiclevel_emerypit_feeding","newemerypitfalltrap_huntingstrategy_emerypit_feeding"
"acropyga","exsanguis",NA,NA,NA,NA,NA,NA,NA,NA,"Sugar feeder + generalist 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","aterrima",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","obfuscata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","parvula",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","brunnipes","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","dubius","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","elegans","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","exiguus","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","flavicollis","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","interstitialis","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","luteatus","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","maculatus","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","meridianus","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","parvulus","Omnivore","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acyrthosiphon","pisum",NA,"yes","specialist","same_diet","pest herbivore","Specialist","herbivore","Legumes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adalia","bipunctata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","c","aphids","Specialist","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adalia","decempunctata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelomyrmex","laevigatus",NA,NA,NA,NA,NA,NA,NA,NA,"Generalist predator 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelomyrmex","sp.",NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","lineolatus",NA,"no","generalist","same_diet","pest herbivore",NA,NA,NA,NA,"h","h","s",NA,NA,NA,"p","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","quadripunctatus",NA,"no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"h","h","s",NA,NA,NA,"m","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","seticornis",NA,"no","specialist","same_diet","non-pest herbivore",NA,NA,NA,NA,"h-c","h","s",NA,NA,NA,"o","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","ticinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c-h","o","s",NA,NA,NA,"p","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aegomorphus","clavipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agapanthia","villosoviridescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","afrum","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","dolens","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","duftschmidi","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","ericeti","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","fuliginosum","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","gracile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","gracilipes","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","hypocrita","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","impressum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","longicorne","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","lugens","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","marginatum","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","micans","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","monachum","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","muelleri","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","munsteri","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","nigrum","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","pelidnum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","permoestum","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","piceum","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","scitulum","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","sexpunctatum","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","checked",NA,NA,NA,NA,NA,NA,NA,NA
"agonum","versutum","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viduum","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viridicupreum",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","affinis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","decora",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","fuscipalpa",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","mollis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","rurestris",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","saxatilis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","simplicitarsis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bilineata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bipustulata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","brevipennis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","curtula",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","laevigata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","lygaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","ruficornis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","sparsa",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","tristis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allodynerus","rossii",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alloxysta","victrix",NA,"yes","specialist","different_diet","parasitoid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aloconota","gregaria",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","accentuata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","aculeata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","albofasciata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","cuneata",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","fabrilis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","pulverulenta",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","simoni",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","trabalis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,"c","c","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alosterna","tabacicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","",NA,"no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aenea","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","o","c",NA,NA,NA,"o",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","anthobia","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","apricaria","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","arenaria","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aulica","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","c","c",NA,NA,NA,"p",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","bifrons","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","o","c",NA,NA,NA,"o",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","brunnea","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","chaudoiri","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","communis","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","o","c",NA,NA,NA,"o",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","concinna","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","consularis","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","convexior","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","convexiuscula","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","crenata","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","cursitans","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","curta","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","equestris","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","erratica","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","eurynota","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","famelica","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","familiaris","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","o","c",NA,NA,NA,"o",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","fulva","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fulvipes","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fusca","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","gebleri","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","infima","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","ingenua","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","kulti","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","littorea","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","lucida","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","lunicollis","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","majuscula","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","messae","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","montivaga","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","o","c",NA,NA,NA,"p",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","municipalis","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","nigricornis","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","nitida","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","ovata","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","plebeja","Herbivore","no","generalist","same_diet","non-pest herbivore",NA,NA,NA,NA,"c-h","o","c",NA,NA,NA,"o",NA,NA,NA,"r-ro",NA,NA,NA,NA,NA,NA,NA
"amara","praetermissa","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","proxima","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
