genus,species,country_sesync_invasive,invasive.status_tamburini_invasive,invasive_sesync_invasive,study.area_tamburini_invasive,continent_globalants_invasive,invasive.to.political.region1_globalants_invasive,political.region1_globalants_invasive,countryconfirmed_emerysticky_invasive,nat_inv_un_emerysticky_invasive,number_agree,final_answer
alloxysta,victrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aloconota,gregaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,accentuata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,albofasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,cuneata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,fabrilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,pulverulenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,simoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alopecosa,trabalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alosterna,tabacicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,aenea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,anthobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,apricaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,aulica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,bifrons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,communis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,convexior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,curta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,equestris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,eurynota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,famelica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,familiaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,fulva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,ingenua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,kulti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,lunicollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,majuscula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,montivaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,ovata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,plebeja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,similata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,spreta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,tibialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amara,tricuspidata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amblystomus,niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amischa,analis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amischa,bifoveolata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amischa,decipiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amischa,forcipata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amischa,nigrofusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anaesthetis,testacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anaglyptus,mysticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anastrangalia,reyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anastrangalia,sanguinolenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anchomenus,dorsalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,antilope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,claripennis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,gazella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,nigricornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,oviventris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,parietinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,parietum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocerus,trifasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anisodactylus,binotatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anisodactylus,nemorivagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anisodactylus,signatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anochetus,risii,NA,NA,NA,NA,Asia,Native*,China,NA,NA,1,native
anochetus,90,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,altisquamis,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,armstrongi,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,cato,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,diegensis,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,myops,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,paripungens,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anochetus,rectangularis,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
anoplodera,sexguttata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,complanatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,insecatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,inustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,rugosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,sculpturatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anotylus,tetracarinatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anthobium,atrocephalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anthobium,unicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anthonomus,rectirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anthonomus,rubi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
antistea,elegans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphididae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphidius,avenae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphidius,ervi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphidius,rhopalosiphi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphidius,uzbekistanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphidius,,NA,NA,NA,NA,NA,NA,NA,NA,Parasitoid,NA,NA
aphidoidea,,switzerland,NA,native,NA,NA,NA,NA,NA,NA,1,native
aphidoletes,aphidimyza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphis,glycines,united states,Exotic,invasive,North America,NA,NA,NA,NA,NA,2,invasive
aphis,craccivora,serbia,Native,native,Europe,NA,NA,NA,NA,NA,2,native
aphodius,contaminatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,corvinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,distinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,erraticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,fimetarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,granarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,haemorrhoidalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,prodromus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,pusillus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,sphacelatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aphodius,tasmaniae,australia,NA,native,NA,NA,NA,NA,NA,NA,1,native
apostenus,fuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apterostigma,pilosum,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
apterostigma,sp.1,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
apterostigma,sp.2,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
apterostigma,sp.3,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
apterostigma,sp.01,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
araeoncus,humilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneae,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneus,diadematus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneus,marmoreus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneus,quadratus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneus,sturmi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araneus,triguttatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araniella,alpica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araniella,cucurbitina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
araniella,opisthographa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arctosa,leopardus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arctosa,perita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
argenna,subnigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arhopalus,rusticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arhopalus,tristis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aromia,moschata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asaphes,suspensus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asaphidion,flavipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asaphidion,stierlini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asemum,striatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asemum,tenuicorne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asthenargus,paganus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,aegra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,aeneipennis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,amplicollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,atramentaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,britanniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,cauta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,celata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,crassicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,elongatula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,graminicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,harwoodi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,inquinula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,laticollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,liliputana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,longicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,macrocera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,malleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,nigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,oblita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,orbata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,pittionii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,putrida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,ravilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atheta,triangulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aulonia,albimana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auplopus,carbonarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
azteca,sp.02,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
bactrocera,oleae,spain,Native,native,Europe,NA,NA,NA,NA,NA,2,native
badister,bullatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badister,lacertosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badister,meridionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badister,peltatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badister,sodalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baryphyma,pratense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baryphyma,trifrons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bathyphantes,approximatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bathyphantes,gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bathyphantes,parvulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bathyphantes,similis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,aeneum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,assimile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,biguttatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,deletum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,dentellum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,gilvipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,guttula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,iricolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,lampros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,latinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,lunulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,mannerheimii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,obliquum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,obtusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,properans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,quadrimaculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bembidion,tetracolum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blemus,discus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bolitobius,castaneus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bolitobius,cingulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachiacantha,argentinica,NA,NA,NA,NA,NA,NA,NA,BR,Nat,2,native
brachiacantha,sellata,NA,NA,NA,NA,NA,NA,NA,BR,Nat,3,native
brachiacantha,trimaculata,NA,NA,NA,NA,NA,NA,NA,BR,Nat,4,native
brachinus,bipustulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachinus,crepitans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachinus,explodens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachinus,ganglbaueri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachinus,psophia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachinus,sclopeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brachymyrmex,depilis,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
brachymyrmex,sp.1,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
brachymyrmex,sp.2,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
brachymyrmex,sp.3,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
brachymyrmex,sp.4,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
brachymyrmex,coactus,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachymyrmex,sp. 07,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachymyrmex,sp.01,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachymyrmex,sp.02,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachymyrmex,sp.03,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachymyrmex,sp.05,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachymyrmex,sp.10,NA,NA,NA,NA,South America,Native*,Brazil,NA,NA,1,native
brachyta,interrogationis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bradycellus,caucasicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bradycellus,harpalinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brevicoryne,brassicae,united states,Exotic,invasive,North America,NA,NA,NA,NA,NA,2,invasive
busseola,fusca,NA,Native,NA,Africa,NA,NA,NA,NA,NA,1,native
cacoxenus,indagator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,ambiguus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,cinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,erratus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,fuscipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,luctuosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,melanocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calathus,micropterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
callicerus,obscurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
callicerus,rigidicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
callidium,aeneum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
callidium,coriaceum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
callidium,violaceum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
callistus,lunatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calosoma,argentense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calosoma,retusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
camponotus,gasseri,NA,NA,NA,NA,Not in paper,Unknown,Not in paper,NA,NA,NA,NA
camponotus,herculeanus,NA,NA,NA,NA,Not in paper,Unknown,Not in paper,NA,NA,NA,NA
camponotus,truncatus,NA,NA,NA,NA,Not in paper,Unknown,Not in paper,NA,NA,NA,NA
camponotus,cf._compressus,NA,NA,NA,NA,Asia,Native*,China,NA,NA,1,native
camponotus,friedae,NA,NA,NA,NA,Asia,Native*,China,NA,NA,1,native
camponotus,rubidus,NA,NA,NA,NA,Asia,Native*,China,NA,NA,1,native
camponotus,sp.8,NA,NA,NA,NA,Asia,Native*,China,NA,NA,1,native
camponotus,lateralis,NA,NA,NA,NA,Europe,Native*,Spain,NA,NA,1,native
camponotus,1,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,114,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,127,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,133,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,142,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,143,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,18,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,182,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,19,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,208,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,214,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
camponotus,220,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
