"genus","species","newcarabids_habitatpreference_carabids_habitat","newmartin2019_overwintering_habitat_martin2019_habitat","newmartin2019_stratum_martin2019_habitat","newsesync_crops_sesync_habitat","newsesync_finalhabitat_sesync_habitat","newsesync_overwinter.location_sesync_habitat","newtamburini_habitat.breadth_tamburini_habitat","newtamburini_host.breadth..n..host.families._tamburini_habitat","newjeppsson_larval.host.plants..nr.._jeppsson_habitat","newjeppsson_overwintering.stage..adult.larvae._jeppsson_habitat","newjeppsson_substrate.utilization.breadth..nr.._jeppsson_habitat","newarthropodtraits_stratum_use_arthropodtraits_habitat","newarthropodtraits_stratum_use_short_arthropodtraits_habitat","newemerystickytrap_habitat_emerysticky_habitat","newemerypitfalltrap_habitat_emerypit_habitat"
"agonum","micans","345","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","monachum","0134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","muelleri","12345689","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","munsteri","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","nigrum","45","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","pelidnum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","permoestum",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","piceum","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","scitulum","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","sexpunctatum","234689","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","versutum","345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viduum","1345","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viridicupreum",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","affinis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","decora",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","fuscipalpa",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","mollis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","rurestris",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","saxatilis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","simplicitarsis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bilineata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bipustulata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aleochara","brevipennis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","curtula",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","laevigata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aleochara","lygaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aleochara","ruficornis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","sparsa",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","tristis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"allodynerus","rossii",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alloxysta","victrix",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aloconota","gregaria",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","accentuata",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","aculeata",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","albofasciata",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","cuneata",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"alopecosa","fabrilis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","pulverulenta",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","simoni",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","trabalis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"alosterna","tabacicolor",NA,NA,NA,NA,NA,NA,NA,NA,"16","L","2",NA,NA,NA,NA
"amara","",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aenea","16789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"amara","anthobia","5679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","apricaria","14789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","arenaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aulica","124679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"amara","bifrons","179","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"amara","brunnea","467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","chaudoiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","communis","124569","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"amara","concinna","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","consularis","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","convexior","123679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","convexiuscula","189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","crenata","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","cursitans","2789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","curta","126789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","equestris","126789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","erratica","269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","eurynota","6789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","famelica","1467","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","familiaris","14679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"amara","fulva","13789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fulvipes","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","fusca","1789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","gebleri","3459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","infima","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","ingenua","13789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","kulti","679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","littorea","379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","lucida","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","lunicollis","124679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","majuscula","179","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","messae","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","montivaga","34679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"amara","municipalis","1279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","nigricornis","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","nitida","123679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","ovata","14679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","plebeja","145679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"amara","praetermissa","26789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","proxima","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","pulpani","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","quenseli","167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","sabulosa","789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","schimperi","359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","similata","14679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","spreta","1379","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","strandi","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","strenua","1479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","tibialis","13679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","tricuspidata","4579","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amblystomus","niger",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","analis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"amischa","bifoveolata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"amischa","decipiens",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"amischa","forcipata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amischa","nigrofusca",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"anaesthetis","testacea",NA,NA,NA,NA,NA,NA,NA,NA,"1","L","1",NA,NA,NA,NA
"anaglyptus","mysticus",NA,NA,NA,NA,NA,NA,NA,NA,"7","A","2",NA,NA,NA,NA
"anastrangalia","reyi",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"anastrangalia","sanguinolenta",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"anchomenus","cyaneus","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchomenus","dorsalis","134679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","antilope",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","claripennis",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","gazella",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","nigricornis",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","oviventris",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","parietinus",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","parietum",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ancistrocerus","trifasciatus",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","binotatus","149","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","g",NA,NA
"anisodactylus","nemorivagus","14679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","poeciloides","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anisodactylus","signatus","34589","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","altisquamis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","armstrongi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","diegensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","myops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","paripungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","rectangularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anochetus","risii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anoplodera","sexguttata",NA,NA,NA,NA,NA,NA,NA,NA,"3","L","2",NA,NA,NA,NA
"anotylus","affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"anotylus","complanatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","insecatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","inustus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anotylus","rugosus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"anotylus","sculpturatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"anotylus","tetracarinatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"anthobium","atrocephalum",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthobium","unicolor",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anthonomus","rectirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
"anthonomus","rubi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
"antistea","elegans",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphididae","",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy",NA
"aphidius","avenae",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","ervi",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","rhopalosiphi",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidius","uzbekistanicus",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidoidea","",NA,"natural margin","ground/veg","solanum tuberosum","Generalist","Generalist",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphidoletes","aphidimyza",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aphis","craccivora",NA,"natural margin crop","ground/veg","medicago sativa","Generalist","host plant","Habitat generalist","10",NA,NA,NA,NA,NA,NA,NA
"aphis","glycines",NA,NA,NA,"glycine max","non_crop","alternate_host","Habitat generalist","3",NA,NA,NA,NA,NA,NA,NA
"aphodius","contaminatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","corvinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","distinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","erraticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","fimetarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","granarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","haemorrhoidalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","prodromus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","sphacelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aphodius","tasmaniae",NA,NA,NA,"triticum aestivum; brassica napus; hordeum vulgare; linum usitatissimum; avena sativa","crop","soil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"apostenus","fuscus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apterostigma","pilosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apterostigma","sp.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apterostigma","sp.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apterostigma","sp.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apterostigma","sp.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"araeoncus","humilis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"araneae","",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneae","sp.",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"araneus","diadematus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h-t","u",NA,NA
"araneus","marmoreus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h-t","u",NA,NA
"araneus","quadratus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h-t","u",NA,NA
"araneus","sturmi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
