scope,species,question,answer,unknown,known,question last word
Predation and movement ability - Body size,acyrthosiphon pisum,are acyrthosiphon pisum large insects?,220510 mm yes (0),0,1,insects?
Predation and movement ability - Body size,acyrthosiphon pisum,are acyrthosiphon pisum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,acyrthosiphon pisum,are acyrthosiphon pisum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,adalia bipunctata,are adalia bipunctata large insects?,45 mm long 3552 mm (0),0,1,insects?
Predation and movement ability - Body size,adalia bipunctata,are adalia bipunctata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,adalia bipunctata,are adalia bipunctata larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,adelphocoris lineolatus,are adelphocoris lineolatus large insects?,"83 to 95 millimeters (1), 76 to 83 millimeters (1), larger than lygus bugs (1), 8 to 10 mm (1), 79 millimetres (1), approximately threeeighths of an inch long (1)",0,1,insects?
Predation and movement ability - Body size,adelphocoris lineolatus,are adelphocoris lineolatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,adelphocoris lineolatus,are adelphocoris lineolatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,adelphocoris seticornis,are adelphocoris seticornis large insects?,unknown (23),1,0,insects?
Predation and movement ability - Body size,adelphocoris seticornis,are adelphocoris seticornis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,adelphocoris seticornis,are adelphocoris seticornis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agonum duftschmidi,are agonum duftschmidi large insects?,unknown (23),1,0,insects?
Predation and movement ability - Body size,agonum duftschmidi,are agonum duftschmidi larger than competitors?,unknown (16),1,0,competitors?
Predation and movement ability - Body size,agonum duftschmidi,are agonum duftschmidi larger than prey?,unknown (22),1,0,prey?
Predation and movement ability - Body size,agonum lugens,are agonum lugens large insects?,8510mm midsized to smallish (0),0,1,insects?
Predation and movement ability - Body size,agonum lugens,are agonum lugens larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,agonum lugens,are agonum lugens larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agonum lugens,are agonum muelleri large insects?,7 to 9 mm (1),0,1,insects?
Predation and movement ability - Body size,agonum muelleri,are agonum muelleri larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,agonum muelleri,are agonum muelleri larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agonum nigrum,are agonum nigrum large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,agonum nigrum,are agonum nigrum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,agonum nigrum,are agonum nigrum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agonum sexpunctatum,are agonum sexpunctatum large insects?,unknown (23),1,0,insects?
Predation and movement ability - Body size,agonum sexpunctatum,are agonum sexpunctatum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,agonum sexpunctatum,are agonum sexpunctatum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agonum viduum,are agonum viduum large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,agonum viduum,are agonum viduum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,agonum viduum,are agonum viduum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agyneta decora,are agyneta decora large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,agyneta decora,are agyneta decora larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,agyneta decora,are agyneta decora larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,agyneta decora,are aleochara bilineata large insects?,56 mm (2),0,1,insects?
Predation and movement ability - Body size,aleochara bilineata,are aleochara bilineata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aleochara bilineata,are aleochara bilineata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aleochara bipustulata,are aleochara bipustulata large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,aleochara bipustulata,are aleochara bipustulata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aleochara bipustulata,are aleochara bipustulata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aleochara brevipennis,are aleochara brevipennis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,aleochara brevipennis,are aleochara brevipennis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aleochara brevipennis,are aleochara brevipennis larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,aleochara curtula,are aleochara curtula large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,aleochara curtula,are aleochara curtula larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aleochara curtula,are aleochara curtula larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,alloxysta victrix,are alloxysta victrix large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,alloxysta victrix,are alloxysta victrix larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,alloxysta victrix,are alloxysta victrix larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aloconota gregaria,are aloconota gregaria large insects?,unknown (23),1,0,insects?
Predation and movement ability - Body size,aloconota gregaria,are aloconota gregaria larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aloconota gregaria,are aloconota gregaria larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aloconota gregaria,are alopecosa cuneata large insects?,rather large wolf spider (1),0,1,insects?
Predation and movement ability - Body size,alopecosa cuneata,are alopecosa cuneata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,alopecosa cuneata,are alopecosa cuneata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,alopecosa fabrilis,are alopecosa fabrilis large insects?,"yes (9), alopecosa fabrilis is one of the largest of the wolf spider family (1), measuring up to 55mm just over two inches in diameter including its legs (0)",0,1,insects?
Predation and movement ability - Body size,alopecosa fabrilis,are alopecosa fabrilis larger than competitors?,unknown (24),1,0,competitors?
Predation and movement ability - Body size,alopecosa fabrilis,are alopecosa fabrilis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,alopecosa pulverulenta,are alopecosa pulverulenta large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,alopecosa pulverulenta,are alopecosa pulverulenta larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,alopecosa pulverulenta,are alopecosa pulverulenta larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara aenea,are amara aenea large insects?,65  9mm large insects (0),0,1,insects?
Predation and movement ability - Body size,amara aenea,are amara aenea larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara aenea,are amara aenea larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara apricaria,are amara apricaria large insects?,yes (1),0,1,insects?
Predation and movement ability - Body size,amara apricaria,are amara apricaria larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara apricaria,are amara apricaria larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara aulica,are amara aulica large insects?,unknown (23),1,0,insects?
Predation and movement ability - Body size,amara aulica,are amara aulica larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara aulica,are amara aulica larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara bifrons,are amara bifrons large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara bifrons,are amara bifrons larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara bifrons,are amara bifrons larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara communis,are amara communis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara communis,are amara communis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara communis,are amara communis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara convexior,are amara convexior large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara convexior,are amara convexior larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara convexior,are amara convexior larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara curta,are amara curta large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara curta,are amara curta larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara curta,are amara curta larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara equestris,are amara equestris large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara equestris,are amara equestris larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara equestris,are amara equestris larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara eurynota,are amara eurynota large insects?,unknown (20),1,0,insects?
Predation and movement ability - Body size,amara eurynota,are amara eurynota larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara eurynota,are amara eurynota larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara famelica,are amara famelica large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara famelica,are amara famelica larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara eurynota,are amara famelica larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara familiaris,are amara familiaris large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara familiaris,are amara familiaris larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara familiaris,are amara familiaris larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara ingenua,are amara ingenua large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara ingenua,are amara ingenua larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara familiaris,are amara ingenua larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara kulti,are amara kulti large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara kulti,are amara kulti larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara kulti,are amara kulti larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara kulti,are amara lunicollis large insects?,75 to 9 mm (1),0,1,insects?
Predation and movement ability - Body size,amara lunicollis,are amara lunicollis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara lunicollis,are amara lunicollis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara majuscula,are amara majuscula large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara majuscula,are amara majuscula larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara majuscula,are amara majuscula larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara montivaga,are amara montivaga large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara montivaga,are amara montivaga larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara montivaga,are amara montivaga larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara ovata,are amara ovata large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amara ovata,are amara ovata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara ovata,are amara ovata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara plebeja,are amara plebeja large insects?,6 to 8mm long (1),0,1,insects?
Predation and movement ability - Body size,amara plebeja,are amara plebeja larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara plebeja,are amara plebeja larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,amara similata,are amara similata large insects?,89mm (1),0,1,insects?
Predation and movement ability - Body size,amara similata,are amara similata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara similata,are amara similata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara tricuspidata,are amara tricuspidata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amara tricuspidata,are amara tricuspidata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amara tricuspidata,are amblystomus niger large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,amblystomus niger,are amblystomus niger larger than competitors?,unknown (18),1,0,competitors?
Predation and movement ability - Body size,amblystomus niger,are amblystomus niger larger than prey?,unknown (20),1,0,prey?
Predation and movement ability - Body size,amischa analis,are amischa analis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amischa analis,are amischa analis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amischa analis,are amischa analis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amischa decipiens,are amischa decipiens large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,amischa decipiens,are amischa decipiens larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,amischa decipiens,are amischa decipiens larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,amischa nigrofusca,are amischa nigrofusca large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,amischa nigrofusca,are amischa nigrofusca larger than competitors?,unknown (9),1,0,competitors?
Predation and movement ability - Body size,amischa decipiens,are amischa nigrofusca larger than prey?,unknown (12),1,0,prey?
Predation and movement ability - Body size,amischa nigrofusca,are anchomenus dorsalis large insects?,5677 mm 10 mg up to 5 cm (0),0,1,insects?
Predation and movement ability - Body size,anchomenus dorsalis,are anchomenus dorsalis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,anchomenus dorsalis,are anchomenus dorsalis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,ancistrocerus antilope,are ancistrocerus antilope large insects?,unknown (23),1,0,insects?
Predation and movement ability - Body size,ancistrocerus antilope,are ancistrocerus antilope larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,ancistrocerus antilope,are ancistrocerus antilope larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,ancistrocerus claripennis,are ancistrocerus claripennis large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,ancistrocerus antilope,are ancistrocerus claripennis larger than competitors?,unknown (14),1,0,competitors?
Predation and movement ability - Body size,ancistrocerus claripennis,are ancistrocerus claripennis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,ancistrocerus gazella,are ancistrocerus gazella large insects?,unknown (9),1,0,insects?
Predation and movement ability - Body size,ancistrocerus gazella,are ancistrocerus gazella larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,ancistrocerus gazella,are ancistrocerus gazella larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,ancistrocerus gazella,are ancistrocerus nigricornis large insects?,1013 mm large (0),0,1,insects?
Predation and movement ability - Body size,ancistrocerus nigricornis,are ancistrocerus nigricornis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,ancistrocerus nigricornis,are ancistrocerus nigricornis larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,ancistrocerus nigricornis,are ancistrocerus parietum large insects?,1215mm 7 to 12mm 130160mm (0),0,1,insects?
Predation and movement ability - Body size,ancistrocerus parietum,are ancistrocerus parietum larger than competitors?,unknown (23),1,0,competitors?
Predation and movement ability - Body size,ancistrocerus parietum,are ancistrocerus parietum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,ancistrocerus parietum,are anisodactylus binotatus large insects?,10127 mm 039050 in (1),0,1,insects?
Predation and movement ability - Body size,anisodactylus binotatus,are anisodactylus binotatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,anisodactylus binotatus,are anisodactylus binotatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anisodactylus nemorivagus,are anisodactylus nemorivagus large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,anisodactylus nemorivagus,are anisodactylus nemorivagus larger than competitors?,unknown (24),1,0,competitors?
Predation and movement ability - Body size,anisodactylus nemorivagus,are anisodactylus nemorivagus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anisodactylus signatus,are anisodactylus signatus large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,anisodactylus signatus,are anisodactylus signatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,anisodactylus signatus,are anisodactylus signatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anotylus insecatus,are anotylus insecatus large insects?,unknown (19),1,0,insects?
Predation and movement ability - Body size,anotylus insecatus,are anotylus insecatus larger than competitors?,unknown (17),1,0,competitors?
Predation and movement ability - Body size,anotylus insecatus,are anotylus insecatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anotylus rugosus,are anotylus rugosus large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,anotylus rugosus,are anotylus rugosus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,anotylus rugosus,are anotylus rugosus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anotylus rugosus,are anotylus sculpturatus large insects?,34 mm (1),0,1,insects?
Predation and movement ability - Body size,anotylus sculpturatus,are anotylus sculpturatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,anotylus sculpturatus,are anotylus sculpturatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anotylus tetracarinatus,are anotylus tetracarinatus large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,anotylus tetracarinatus,are anotylus tetracarinatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,anotylus tetracarinatus,are anotylus tetracarinatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,anotylus tetracarinatus,are anthobium atrocephalum large insects?,20 mm (1),0,1,insects?
Predation and movement ability - Body size,anthobium atrocephalum,are anthobium atrocephalum larger than competitors?,size larger than average for genus (1),0,1,competitors?
Predation and movement ability - Body size,anthobium atrocephalum,are anthobium atrocephalum larger than prey?,unknown (23),1,0,prey?
Predation and movement ability - Body size,antistea elegans,are antistea elegans large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,antistea elegans,are antistea elegans larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,antistea elegans,are antistea elegans larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,antistea elegans,are aphidius avenae large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,aphidius avenae,are aphidius avenae larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aphidius avenae,are aphidius avenae larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aphidius ervi,are aphidius ervi large insects?,45 mm long tiny 23 mm long no larger than gnats aphidius ervi are around 45mm long (0),0,1,insects?
Predation and movement ability - Body size,aphidius ervi,are aphidius ervi larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aphidius ervi,are aphidius ervi larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,aphidius rhopalosiphi,are aphidius rhopalosiphi large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,aphidius rhopalosiphi,are aphidius rhopalosiphi larger than competitors?,unknown (24),1,0,competitors?
Predation and movement ability - Body size,aphidius rhopalosiphi,are aphidius rhopalosiphi larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aphidius rhopalosiphi,are aphidius uzbekistanicus large insects?,unknown (20),1,0,insects?
Predation and movement ability - Body size,aphidius uzbekistanicus,are aphidius uzbekistanicus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aphidius uzbekistanicus,are aphidius uzbekistanicus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aphidoletes aphidimyza,are aphidoletes aphidimyza large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,aphidoletes aphidimyza,are aphidoletes aphidimyza larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aphidoletes aphidimyza,are aphidoletes aphidimyza larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aphis craccivora,are aphis craccivora large insects?,unknown (22),1,0,insects?
Predation and movement ability - Body size,aphis craccivora,are aphis craccivora larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aphis craccivora,are aphis craccivora larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aphis glycines,are aphis glycines large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,aphis glycines,are aphis glycines larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,aphis glycines,are aphis glycines larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,aphodius tasmaniae,are aphodius tasmaniae large insects?,unknown (9),1,0,insects?
Predation and movement ability - Body size,aphodius tasmaniae,are aphodius tasmaniae larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,apostenus fuscus,are apostenus fuscus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,apostenus fuscus,are apostenus fuscus larger than competitors?,unknown (22),1,0,competitors?
Predation and movement ability - Body size,apostenus fuscus,are apostenus fuscus larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,araeoncus humilis,are araeoncus humilis large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,araeoncus humilis,are araeoncus humilis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,araeoncus humilis,are araeoncus humilis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,araneus diadematus,are araneus diadematus large insects?,"the garden spider is one of the uks largest spider species (1), with females reaching up to 2 inches 5 cm across they range in size from 6 to 20 millimeters (0)",0,1,insects?
Predation and movement ability - Body size,araneus diadematus,are araneus diadematus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,araeoncus humilis,are araneus diadematus larger than prey?,"adult females range from 65 to 20 mm (1), bees (1), wasps (1), moths (1), grasshoppers (1), small beetles (1), males range from 55 to 13 mm larger insects such as flies (0)",0,1,prey?
Predation and movement ability - Body size,araneus diadematus,are arctosa leopardus large insects?,04516 cm 018063 in 45 to 16 mm 10  20 mm (0),0,1,insects?
Predation and movement ability - Body size,arctosa leopardus,are arctosa leopardus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,arctosa leopardus,are arctosa leopardus larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,argenna subnigra,are argenna subnigra large insects?,unknown (20),1,0,insects?
Predation and movement ability - Body size,argenna subnigra,are argenna subnigra larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,argenna subnigra,are argenna subnigra larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,asaphes suspensus,are asaphes suspensus large insects?,13 mm yes (0),0,1,insects?
Predation and movement ability - Body size,asaphes suspensus,are asaphes suspensus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,asaphes suspensus,are asaphes suspensus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,asaphidion flavipes,are asaphidion flavipes large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,asaphidion flavipes,are asaphidion flavipes larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,asaphidion flavipes,are asaphidion flavipes larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,asaphidion flavipes,are asaphidion stierlini large insects?,10 to 25 mm 4555 mm (0),0,1,insects?
Predation and movement ability - Body size,asaphidion stierlini,are asaphidion stierlini larger than competitors?,unknown (16),1,0,competitors?
Predation and movement ability - Body size,asaphidion stierlini,are asaphidion stierlini larger than prey?,unknown (22),1,0,prey?
Predation and movement ability - Body size,asthenargus paganus,are asthenargus paganus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,asthenargus paganus,are asthenargus paganus larger than competitors?,unknown (16),1,0,competitors?
Predation and movement ability - Body size,asthenargus paganus,are asthenargus paganus larger than prey?,unknown (20),1,0,prey?
Predation and movement ability - Body size,atheta celata,are atheta celata large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,atheta celata,are atheta celata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,atheta celata,are atheta celata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,atheta crassicornis,are atheta crassicornis large insects?,unknown (20),1,0,insects?
Predation and movement ability - Body size,atheta crassicornis,are atheta crassicornis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,atheta crassicornis,are atheta crassicornis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,atheta fungi,are atheta fungi large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,atheta fungi,are atheta fungi larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,atheta fungi,are atheta fungi larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,atheta macrocera,are atheta macrocera large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,atheta macrocera,are atheta macrocera larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,atheta macrocera,are atheta macrocera larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,atheta orbata,are atheta orbata large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,atheta orbata,are atheta orbata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,atheta orbata,are atheta orbata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,atheta triangulum,are atheta triangulum large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,atheta triangulum,are atheta triangulum larger than competitors?,unknown (25),1,0,competitors?
